sid	ja	en	average	expr	aligned_expr	normalized
tr1283	その時スデに行動は終わっているんだッ!	At that time it's already too late!	4.33	スデ	already	既
tr1379	ついに実況動画あげちゃった......はじゅかちぃ......	I finally posted a video of the real conditions... embarrassing...	4.0	はじゅかちぃ	embarrassing	恥ずかしい
tr1402	でも毎日ウンチ出るのって幸せ	But true happiness is getting to poop every day.	4.33	ウンチ	poop	うんち
tr1406	とーいっくって5点刻みらしいよ	Speaking of TOIEC, scores can only come in intervals of 5.	4.33	とーいっく	TOIEC	TOEIC
tr1487	なんやこの暖かさァ！！！！！	What is this warmth!!!!!	5.0	暖かさァ	warmth	暖かさ
tr1502	ねんがんのウスイホーンをてにいれたぞ！	I got the Usui Horn that I had my heart set on!	4.33	ねんがん	heart set on	念願
tr1513	はい矛盾、ハイ論破!！	Yes it's a contradiction, yes that just won the argument!	4.0	ハイ	Yes	はい
tr1553	ぼく、いろんなところで嫌われてしぼう	I'm disliked wherever I go.	4.0	ぼく	I	僕
tr1558	ぼくが今ハマっている壺男のゲームの魅力をぼくなりに文章にまとめたよ	I wrote my thoughts on the appeal of this game I'm really into at the moment about a man in a pot.	4.33	ぼく	I	僕
tr1560	ぼくたんじょうび	It is my birthday.	5.0	たんじょうび	birthday	誕生日
tr1716	よめにゃい...	I can't read.	5.0	よめにゃい	can't read	読めない
tr1759	アツゥイ！	Hot!	5.0	アツゥイ	Hot	熱い
tr1787	アメリカのケモナー界でネトウヨ勢力が拡大しているらしい  マジかよあにゃまる探偵キルミンずぅ最低だな	It seems that the influence of right wingers is icreasing in the world of American furries  Seriously, Anyamaru Tantei Kiruminzuu is the absolute worst	4.67	あにゃまる	Anyamaru	アニマル
tr1808	イイ	It's great.	4.33	イイ	great	いい
tr1825	イヌもこんな表情するのかﾜﾗﾀ	So dog's make this expression too lol	4.0	ﾜﾗﾀ	lol	笑った
tr1857	オス化だね	Masculinization, it is.	4.67	オス	Masculinization	雄
tr2060	タフな老人力、法廷の「アウト老」...不利な質問に「聞こえない」、車椅子アピール  いいじゃん、ガンバレ老人	Tough elderly power, the "outlaws" of the court... Respond to disadvantageous questions with "I can't hear", and they garner points with their wheelchairs. Not bad, nicely done, elderly people.	4.33	アウト老	outlaws	アウトロー
tr2103	トクガーワイエヤスゥ...	Ieyasu Tokugawa...	5.0	トクガーワイエヤスゥ	Ieyasu Tokugawa	徳川家康
tr2132	ナマモノかいな	What is this, perishable food?	4.33	ナマモノ	perishable food	生もの
tr224	Intelのプロセッサチップに根本的な設計上の欠陥が発覚、各OSにアップデートの必要性  そろそろ買い替えたいと思ってたし次はryzenとやらにするかな  ぐっばいインテル	Fundamental flaw in Intel's processor chips necessitates updates to every OS  I was thinking about upgrading any time now, I wonder if I should go with ryzen  Goodbye, Intel	4.67	ぐっばい	Goodbye	グッバイ
tr2278	ボディはやめな、カオーにしな	Stop with the body, do the face	4.33	カオー	face	顔
tr2355	ヤギね！	A goat!	4.0	ヤギ	goat	山羊
tr238	LLLがあんしんなの	There are no worries about LLL.	4.33	あんしん	no worries	安心
tr2428	安倍ちゃん「失業者が減ったからとうぜんだろ！」	Abe "The number of unemployed people decreased so it's as expected!"	4.33	とうぜん	expected	当然
tr3190	今日のご飯は麻婆豆腐でした  マードーボーフ!	Today's meal was mapo tofu  mado bofu	5.0	マードーボーフ	mado bofu	麻婆豆腐
tr3203	今日の水タバコ  たのちい	Today's hookah, it's fun	4.67	たのちい	fun	楽しい
tr3253	婚姻届提出→そのまま役所で挙式がブーム？安い＆ラクで絶賛の嵐！  役所行事かな	Submitting marriage registration → Having a wedding ceremony at the government office right then becoming popular? Cheap & easy making it very popular now! A government office event, I guess.	4.33	ラク	easy	楽
tr3284	最近くらげばんちといいオモコロといいサーバが重すぎてスッと見られないのは腹立つわ	Recently Kurage Bunch and Omokoro's servers are so slow that I can't see it right away, it's pissing me off.	4.67	くらげばんち	Kurage Bunch	くらげバンチ
tr3389	史上最悪！時速235キロのスピード違反で捕まった男は、どんな車に乗っていたか？  自分の球速より早いスピードで違反した野球選手が居たってのにワロタ	Worst in history! Man arrested for 235 kilometers per hour speed violation, what kind of car was he in? A baseball player breaking the speed limit going faster than he can throw a baseball? Hahaha.	4.33	ワロタ	Hahaha	笑った
tr3437	時計買いたいんだけど  しんぷるいずべすと	I want to buy a clock, but simple is best.	4.67	しんぷるいずべすと	simple is best	シンプルイズベスト
tr3450	自衛隊で1番の美マッチョを決める大会「自衛隊ベストボディ2018」が開催されるよ！ 陸・海・空の隊員の健康的な筋肉に釘付けです♡  陸のボイラー技官とか超絶ヒマだから筋トレに専念したらぶっちぎりだろうな	The "Self Defense Force Best Body 2018" event will be held to determine the most beautiful macho body in the Self Defense Force! Feast your eyes on the strong muscles of members from the ground, sea, and air units ♡ Ground boiler technical officers and such have tons of free time, so if they devote themselves to lifting weights they should win in a landslide, right?	4.0	ヒマ	free time	暇
tr3483	自民の山東氏「４人以上産んだ女性、厚労省で表彰を」  ※好きなものを選ぼう   ・何言ってんだコイツ？   ・頭おかしい   ・違うそうじゃない	Mr. Santou of the Liberal Democratic Party says, “the Ministry of Health, Labor, and Welfare commends women that give birth to more than four children.”  Let’s choose what we want. What is this guy saying? He is a nut job. No, that is not true.	4.33	コイツ	this guy	こいつ
tr3894	生活保護世帯が過去最多＝６カ月連続増－厚労省  こうけいきなのにふしぎだなー	The Ministry of Health, Labour and Welfare reported an all time high number of life preservation households. They have been increasing for 6 months. That is strange because the economy is doing well.	4.0	こうけいき	economy is doing well	好景気
tr3930	絶対に落としてはいけないモノを落とした人たち  前歩いてる相当歳をとったご婦人が、 ポロポロとズボンの裾からウ○コ落としてるの見ちゃったことがある	People who drop things that you absolutely can't drop. I once saw a housewife of a reasonable age who was walking ahead of me drop a piece of sh*t from the hem of her trousers.	4.33	ウ○コ	sh*t	うんこ
tr3996	増える高齢者クレーマー、悩むサービス業の若者たち  すいませんすいませんってそれしか言えんのかこのサルゥ！	Increasing numbers of elderly complaining, young people in service industry troubled. "I'm sorry, I'm sorry." Is that all you can say you monkey!?	4.33	サルゥ	monkey	猿
tr3999	即興でやってくれ感がイイネ	I like the off the cuff feeling.	4.0	イイネ	like	いいね
tr4009	他はしっと案件	Anything else is just jealousy.	4.33	しっと	jealousy	嫉妬
tr4137	中身があんこのナマモノだったら躊躇なく潰せるのにね	If the inside really is perishable red bean paste then I could crush it without hesitation.	4.0	ナマモノ	perishable	生物
tr415	steamげーむ	steam game	5.0	げーむ	game	ゲーム
tr4178	田崎史郎とケント・ギルバートに自民党からカネが支払われていた！	Money from the LDP was paid to Shiro Tazaki and Kent Gilbert!	5.0	カネ	Money	金
tr4274	二次キッツイもんな。	The secondary is tough.	4.33	キッツイ	tough	きつい
tr4341	日本語でおｋ	Japanese is fine.	5.0	おｋ	fine	OK
tr4378	忍者の「リアルな一面」外国人に発信「ステレオタイプでなく新鮮」「伝統文化を正しく外国人に伝える」  日本人の考える忍者もニンジャだろ	Ninja's "Real side". Foreigner say "It is fresh rather than a stereotype". "Communicate the correct traditional culture of  ninjas to foreigners". What the Japanese think are ninjas are ninjas as well.	4.33	ニンジャ	Ninja	忍者
tr4491	福田康夫元首相の“アベ嫌い”	Former Prime Minister Fukuda Yasuo's "Hate for Abe".	4.67	アベ	Abe	安倍
tr4567	北海道の真ん中あたりに移住したい  LLL村移住けいかく	I want to move somewhere around the middle of Hokkaido   A moving plan for an LLL village	4.0	けいかく	plan	計画
tr4624	毎日だからちゅかれる......	It's tiring because it's every day......	4.0	ちゅかれる	tiring	疲れる
tr4689	明日もう一度来て下さい。本物の銃剣道を見せてあげますよ。  教官ちょっとニヤけてるｗ	Please come again tomorrow. I'll show you the true form of Juukendou. The teacher is kind of grinning haha.	4.67	ニヤけてる	grinning	にやけてる
tr4758	立派なしゃちくめう	What a magnificent corporate slave.	4.33	しゃちく	corporate slave	社畜
tr497	「で、どっちがワルモノなんだい？」	"So, which one's the bad guy?"	5.0	ワルモノ	bad guy	悪者
tr5	( 'A`)φ < 資格を取るんだ・・・  足デカいから履けない	('A`) φ <I'm taking qualification ... I can not wear it because my foot is so big	4.67	デカい	φ	でかい
tr53	1枚目のねこパラすっごくイイ	The first Nekopara one is amazingly good.	4.33	イイ	good	いい
tr580	「佐川氏は一般人になった。招致は難しい」自民・森山氏  ひどすぎワロタ・・・ワロタ・・  そのうち「佐川氏は鬼籍に入った。招致は出来ない」になりそう	"Mr. Saka became an ordinary person. It was hard to summon." Mr. Moriyama from the Liberal Democratic Party is too awful, I laughed... I laughed... And then, "Mr. sakawa has entered the ruling party. He cannot be summoned" seems to be what will happen.	4.0	ワロタ	laughed	笑った
tr656	『ソードアート・オンライン フェイタル・バレット』海外レビュー  多くが"原作ファンを否定しないようにどうヒドいデキに言及するか?"の回答例みたい   レビューすんのもたいへんだな	Sword Art Online: Fatal Bullet released overseas. Many interested in whether they will mention the abysmal quality while not denigrating fans of the original. This one is gonna be tough to write a review for, eh?	4.0	デキ	quality	出来
tr699	【衝撃】田村ゆかりさんの現在がヤヴァイ	Shocking: Yukari Tamura is presently in a bad state.	4.33	ヤヴァイ	Shocking	やばい
tr791	あ、ハイ	uh, yes	4.67	ハイ	yes	はい
tr802	あいしてるわだーりん	I love you darling.	5.0	だーりん	darling	ダーリン
tr815	あざます！	Thanks!	5.0	あざます	Thanks	ありがとうございます
tr842	ありがたう	I'm grateful.	4.67	ありがたう	grateful	ありがとう
tr877	いちごはwaifuです	Strawberries are my waifu.	4.67	waifu	waifu	妻
tr885	いまよっぱらってます	I am drunk now.	4.67	よっぱらって	drunk	酔っ払って
tr911	うむ、あたみ	Yes, Atami	5.0	あたみ	Atami	熱海
tr946	おちごと...	Work...	5.0	おちごと	Work	お仕事
tr947	おちゅかれ	Good work.	4.33	おちゅかれ	Good work	お疲れ
tr971	おりはるこん？	Orichalcum?	5.0	おりはるこん	Orichalcum	オリハルコン
tr993	お天気良いね 太陽サンサン！  まちがえたっ	What great weather, the sun is shining brightly! It was a mistake.	4.33	まちがえたっ	It was a mistake	間違えた
